Student,Gender,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21
1,female,5.1333333,7.7,7.55,7.7,6.5167,5.883366667,7.7167,6.3667,7.216666667,6.483333333,8.250033333,7.083366667,6.3833,7.333333333,6.749966667,8.333333333,5.4167,9.9167,6.466666667,5.6667,9.216666667
2,female,5.799996667,4.566636667,8.0667,10.61663333,7.666633333,7.0834,8.216666667,6.633333333,5.333333333,8.3,6.999966667,7.049966667,4.249963333,6.466633333,6.916666667,8.966666667,7.58333,7.883336667,6.416633333,4.9833,7.350033333
3,female,5.5,3.916633333,5.333333333,6.083333333,5,5.416633333,6.16667,6.083333333,1.6667,6.250033667,5.333333333,5.16667,4.74997,5.58337,4.75,4.916663333,3.583333333,6.499966667,7.416666667,4.833366667,1.749996667
4,female,6.58333,6.416696667,7.749996667,6.66667,5.75003,8.166666667,8.250003333,4.166633333,6.666666667,5.25,7,6.333333333,6.583333333,3.999996667,7.583363333,7.91667,7.75033,3.9167,4.949966667,8.916666667,6.000036667
5,male,8.066636667,6.95,8.600033333,9.0166,8.09997,8.25003,6.949966667,8.299933333,9.433366667,7.550003333,8.35,8.583333333,8.900033333,9.183366667,7.5833,7.533366667,9.13337,9.466696667,8.516633333,8.200033333,8.11663
6,female,6.86667,8.55,7.133333333,8.266636667,9.250000333,7.63333,8.35,8.19997,8.900033333,6.983303333,5.80003,9.316663333,6.283333333,9.9167,6.316666667,9.000000333,10.71700333,5.566666667,6.516633667,7.900033333,8.4333
7,female,8.916666667,8.25,7,8,7.8333,8.25,8.5,8,7.25,6.5,10,7.75,7.5,9,7.5,8.5,8,8.5,8.5,8.5,8
8,female,7.416666667,6.416666667,9.500033333,6.416666667,8.333333333,5.75,7.833333333,8.416666667,5.500033333,7.416666667,9.916666667,5.916666667,8.583366667,5.249966667,6.833333333,3.333333333,6.416666667,8.333333333,4.833333333,7.333333333,19.25
9,female,8.199966667,7.399966667,11,8.4833,7.750033333,7.9667,7.999966667,7.133366667,5.916666667,7.550003333,8.9833,7.83333,6.9833,7.75,8.2167,5.45,7.3167,8.4333,4.65,8.083366667,8.833366667
10,female,8.166666667,8.25,8,8.333333333,7.333333333,7.25,9.833333333,9.833333333,8.916666667,8.25,7.666666667,9.833333333,9,7.166666667,8,7.166633333,7.916666667,8.000033333,9.499666667,7.8333,9.75
11,female,8.583333333,8.666666667,7.083333333,8.75,8,7.583333333,9.166666667,10.75,8.333333333,3.666666667,6.500033333,8.333333333,7.25,8.416666667,8.3333,8.333363333,7.25,8.333333333,7.166666667,8.4167,7.916633333
12,female,8.75,10.1666,7.3333,9.9667,7.5833,10.74967,8.68333,6.15,8.16663,7.85,7.33337,10.166667,11.75,9.50003,10.06667,9.1333,10.4167,8.7166,8.41663,8.16667,7.41667
13,female,5.0167,9.983303333,10.30033333,6.633366667,8.833336667,7.849933333,8.466666667,10.55000333,11.03296667,8.782966667,10.24963333,8.9163,5.2167,8.299966667,6.049966667,8.399633333,10.6337,5.500033333,10.5333,7.949996667,10.38333333
14,female,11.21666667,7.85,11.28333333,11.03333333,8.733333333,11.58333333,13.41666667,8.283333333,9.883333333,10.86666667,9.633333333,12.13333333,12.2,15.55,16.08333333,12.05,11.06666667,11.08333333,8.3,6.9833,10.63333333
15,female,9.75,9.166666667,4.75,8.75,6.666666667,8.333333333,9.666666667,10.75,11.75,9.8333,8.1667,9.833333333,8.5,9.666666667,11.25,11.66666667,10.16666667,14.66666667,8.333333333,11.5833,11.25
16,female,7.499966667,6.766663333,8.500033333,9.000036667,8.250003333,7.75003,7.083336667,8.666663333,7.49997,6.499996667,9.416333333,10.08300333,7.000033333,8.833333333,8.500033333,9.000003333,8.833336667,8.24997,8.1667,7.74997,8.9167
17,female,7.333333333,7.416666667,7.416666667,5.5,7.5,6.416666667,5.833333333,6.5,6.416666667,7.5,10.16666667,9.75,5.75,6,6.916666667,5.5,4,5,7.083333333,5.5,7.16667
18,male,7.5833,7.633333333,8.9167,9.9834,6.5,7.2833,11,9.7333,10.4333,10.2667,8.849966667,7.2667,6.28333,10.56663333,11.1166,6.433333,6.45,7.516666667,7.366666667,4.649996667,9.916666667
19,female,20.08333333,9.5,9.5,11,20.25,20.25,20.66666667,7.416666667,9.5,19.41666667,6,9.333333333,10.08333333,10.75,7.25,18.5,6.5,20.25,21.33333333,9.75,10
20,female,7.583333333,10.45,10.66666667,9.033333333,9.083333333,9.666666667,9.583333333,8.833333333,10.83333333,11.75,9,10.7,12.58333333,11.86666667,10.75,8.033333333,10.33333333,10.58333333,9.216666667,9.133333333,10.86666667
21,female,7.416663333,8.866703333,10.51667,8.833003333,2.850033333,7.883333333,7,7.333333333,7.16667,9.782996667,9.1,5.61663,6.933333,11.51666667,4.21667,9.66667,6.999963333,10.53333667,5.433336667,8.21667,8.833303333
22,female,3.7,5.45,7.416666667,3.749966667,2.9166,3.316666667,4.1,-0.1,23.11666667,17.9163,13.2,8.783366667,5.01667,10.55003333,7.75,9.300066667,10.64966333,9.466733333,7.600066667,5.683366667,6.783366667
23,male,9.166666667,7.916633333,7.75,9.083333333,8.166633333,7.8334,7.4167,7.500066667,7.666633333,6.666666667,4.966666667,8.833333333,7.5,7.5,7.666666667,7.166666667,7.716666667,4.716663333,7.166666667,9.166666667,7.833333333
24,male,7.333366667,8.416666667,6.916666667,7.916666667,7.733333333,7.666666667,7.916666667,7.416666667,7.7333,6.416666667,6.916666667,7.916666667,6.916666667,7.833333333,6.916666667,7.916666667,7.416666667,7.416666667,8.416666667,8.416666667,7.9
25,female,4.25,5.916666667,19.6663,7.0833,7.883366667,10.15000333,9.516633333,8.366633333,6.949933333,9.76633,9.8667,9.899963333,8.116633,9,8.983333333,7.88333,8.833,4.216733333,7.833366667,9.200033333,9.133303333
26,female,10,8.916666667,6,9.333333333,10.75,7.333333333,10.66666667,9.833333333,9.083333333,10.66666667,9.833333333,10.91666667,10.66666667,11.08333333,11.5,10.91666667,8.666666667,9.25,8.25,8.25,8.4167
27,male,9.149966667,7.8,7.666666667,10.19996667,11.2,7.95,4.933333333,4.6167,8.783333,8.9,6.783336667,9.43333,7.216666667,7.05,8.616633333,7.966666667,8.1833,7.583333333,9.133333333,5.333333333,8.483333333
